; Report for caches, TLBs, and main memory
;    Accesses - Total number of accesses
;    Hits, Misses - Accesses resulting in hits/misses
;    HitRatio - Hits divided by accesses
;    Evictions - Invalidated or replaced cache blocks
;    Retries - For L1 caches, accesses that were retried
;    ReadRetries, WriteRetries, NCWriteRetries - Read/Write retried accesses
;    NoRetryAccesses - Number of accesses that were not retried
;    NoRetryHits, NoRetryMisses - Hits and misses for not retried accesses
;    NoRetryHitRatio - NoRetryHits divided by NoRetryAccesses
;    NoRetryReads, NoRetryWrites - Not retried reads and writes
;    Reads, Writes, NCWrites - Total read/write accesses
;    BlockingReads, BlockingWrites, BlockingNCWrites - Reads/writes coming from lower-level cache
;    NonBlockingReads, NonBlockingWrites, NonBlockingNCWrites - Coming from upper-level cache


[ mod-x86-l1-0 ]

Sets = 128
Assoc = 8
Policy = LRU
BlockSize = 32
Latency = 3
Ports = 2

Accesses = 41789019
Hits = 41788307
Misses = 712
HitRatio = 1
Evictions = 0
Retries = 7

Reads = 30413965
ReadRetries = 7
BlockingReads = 23759011
NonBlockingReads = 0
ReadHits = 23758627
ReadMisses = 6655338

Writes = 27489553
WriteRetries = 0
BlockingWrites = 18030008
NonBlockingWrites = 0
WriteHits = 18029680
WriteMisses = 9459873

NCWrites = 0
NCWriteRetries = 0
NCBlockingWrites = 0
NCNonBlockingWrites = 0
NCWriteHits = 0
NCWriteMisses = 0
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 41789012
NoRetryHits = 41788307
NoRetryMisses = 705
NoRetryHitRatio = 1
NoRetryReads = 23759004
NoRetryReadHits = 23758627
NoRetryReadMisses = 377
NoRetryWrites = 18030008
NoRetryWriteHits = 18029680
NoRetryWriteMisses = 328
NoRetryNCWrites = 0
NoRetryNCWriteHits = 0
NoRetryNCWriteMisses = 0


[ mod-x86-l1-1 ]

Sets = 128
Assoc = 8
Policy = LRU
BlockSize = 32
Latency = 3
Ports = 2

Accesses = 0
Hits = 0
Misses = 0
HitRatio = 0
Evictions = 0
Retries = 0

Reads = 0
ReadRetries = 0
BlockingReads = 0
NonBlockingReads = 0
ReadHits = 0
ReadMisses = 0

Writes = 0
WriteRetries = 0
BlockingWrites = 0
NonBlockingWrites = 0
WriteHits = 0
WriteMisses = 0

NCWrites = 0
NCWriteRetries = 0
NCBlockingWrites = 0
NCNonBlockingWrites = 0
NCWriteHits = 0
NCWriteMisses = 0
Prefetches = 0
PrefetchAborts = 0
UselessPrefetches = 0

NoRetryAccesses = 0
NoRetryHits = 0
NoRetryMisses = 0
NoRetryHitRatio = 0
NoRetryReads = 0
NoRetryReadHits = 0
NoRetryReadMisses = 0
NoRetryWrites = 0
NoRetryWriteHits = 0
NoRetryWriteMisses = 0
NoRetryNCWrites = 0
NoRetryNCWriteHits = 0
NoRetryNCWriteMisses = 0


[ mod-x86-il1-0 ]

Sets = 128
Assoc = 8
Policy = LRU
BlockSize = 32
Latency = 3
Ports = 2

Accesses = 17189688
Hits = 17188008
